  3.60  3.90 11.20  0.00
  2.50  2.80 10.30  0.00
  3.10  3.60 11.40  0.00
  2.70  3.00 10.30  0.00
  3.00  3.50 11.00  0.00
  3.10  3.20 10.10  0.00
  3.40  3.80 13.10  0.00
  3.20  3.50 12.30  0.00
  2.90  3.40 10.40  0.00
  3.20  3.70 11.20  0.00
  3.70  3.90 11.40  0.00
  3.50  2.60 10.00  0.00
  3.10  3.00 10.50  0.00
  2.40  2.80 10.30  1.00
  3.60  3.60 11.40  1.00
  2.90  3.50 10.90  1.00
  3.00  3.70 11.00  1.00
  2.90  3.40 10.10  1.00
  3.70  3.80 13.00  1.00
  3.70  3.70 12.30  1.00
  2.90  3.60 10.40  1.00
  3.30  3.40 11.30  1.00
  3.40  2.10 11.50  1.00
  3.60  3.70 12.00  1.00
