  101  2 19  1  3
  102  2 21  1  1
  104  2 21  1  1
  105  2 19  1  3
  107  2 21  1  1
  108  2 42  1  4
  109  1 22  1  4
  112  1 23  1  3
  116  2 19  1  1
  120  1 20  1  2
  121  2 21  1  2
  124  2 20  1  2
  125  2 22  1  3
  129  2 19  1  1
  130  2 21  1  1
  131  2 19  1  3
  132  2 19  1  4
  135  2 20  1  2
  138  1 19  1  3
  201  2 20  1  3
  202  2 19  1  3
  203  1 20  1  2
  204  2 19  1  4
  207  1 22  1  3
  209  2 20  1  3
  214  1 22  1  3
  216  2 19  1  1
  218  2 19  1  3
  219  2 20  1  2
  220  1 21  1  1
  221  1 19  1  3
  223  1 21  1  4
  224  1 22  1  1
  227  2 22  1  1
  228  2 20  1  2
  229  2 20  1  3
  230  2 22  1  4
  231  2 30  1  3
  235  2 19  1  2
  238  2 22  1  3
  302  2 21  1  1
  306  1 22  1  2
  310  2 22  1  2
  312  2 21  1  1
  314  2 20  1  1
  317  2 20  1  1
  320  2 19  1  3
  321  2 20  1  2
  322  1 21  1  2
  324  2 20  1  1
  327  2 22  1  3
  328  2 21  1  2
  329  2 21  1  1
  330  2 20  1  5
  333  2 19  1  1
  334  2 21  1  4
  336  2 20  1  3
  401  1 20  1  3
  403  2 25  1  2
  404  2 23  1  2
  405  1 21  1  1
  408  2 20  1  3
  414  2 19  1  1
  415  2 19  1  1
  416  1 20  1  1
  418  2 19  1  1
  419  2 21  1  2
  420  1 21  1  1
  424  2 20  1  2
  432  2 20  1  2
  436  2 20  1  1
  439  2 19  1  1
  440  2 19  1  2
  502  1 20  1  3
  504  1 20  1  1
  505  2 21  1  4
  510  2 22  1  3
  511  1 22  1  2
  513  2 18  1  1
  514  2 18  1  4
  515  1 26  1  3
  516  2 20  1  1
  517  2 21  1  2
  523  1 24  1  2
  526  2 21  1  1
  601  1 24  1  1
  602  1 19  1  1
  603  1 21  1  1
  605  1 17  1  1
  606  2 26  1  1
  609  2 22  1  2
  616  2 19  1  2
  619  2 18  1  1
  623  2 -9  1  2
  625  2 19  1  5
  627  1 20  1  1
  628  2 18  1  1
  631  2 18  1  1
  633  2 20  1  3
  706  2 42  1  1
  727  1 32  1  2
  806  1 25  1  5
  809  1 30  1  2
  812  2 33  1  1
  815  1 28  1  3
  816  1 30  1  5
  818  2 26  1  3
  103  2 21  2  3
  114  2 20  2  3
  115  2 19  2  4
  117  2 21  2  5
  118  2 19  2  3
  122  2 20  2  3
  137  1 33  2  3
  206  2 21  2  1
  211  1 20  2  5
  215  1 18  2  2
  226  2 20  2  2
  232  2 20  2  1
  234  2 21  2  2
  237  2 26  2  4
  239  2 19  2  3
  305  2 22  2  5
  307  1 22  2  3
  308  1 22  2  3
  313  2 21  2  1
  316  2 22  2  2
  402  1 21  2  2
  406  1 21  2  2
  409  2 21  2  3
  410  2 20  2  2
  411  2 24  2  2
  422  2 20  2  3
  426  2 21  2  4
  434  2 41  2  2
  435  2 20  2  4
  438  2 21  2  4
  441  2 19  2  2
  501  2 22  2  3
  506  2 20  2  2
  508  2 21  2  4
  509  2 32  2  4
  512  2 43  2  5
  519  2 20  2  3
  607  1 19  2  3
  608  2 19  2  1
  610  2 19  2  3
  611  2 20  2  3
  612  2 19  2  2
  620  1 22  2  1
  621  2 19  2  2
  622  2 20  2  3
  624  2 20  2  1
  629  1 21  2  3
  632  2 19  2  1
  635  2 20  2  1
  701  2 46  2  3
  707  2 41  2  3
  708  2 27  2  5
  709  2 26  2  3
  710  1 29  2  4
  711  2 32  2  2
  712  1 27  2  1
  713  2 38  2  5
  714  2 49  2  3
  715  2 25  2  5
  716  2 25  2  3
  719  2 25  2  4
  721  1 25  2  3
  722  1 52  2  2
  723  2 38  2  4
  724  2 28  2  3
  729  2 25  2  5
  803  2 28  2  4
  804  2 30  2  2
  807  2 45  2  3
  810  2 46  2  2
  814  1 34  2  2
  819  2 27  2  3
  106  2 21  3  2
  110  2 21  3  3
  111  1 22  3  2
  113  2 20  3  5
  119  1 22  3  2
  123  2 20  3  2
  126  2 20  3  1
  127  2 19  3  3
  128  2 20  3  2
  133  2 38  3  2
  134  2 21  3  1
  136  2 21  3  3
  205  2 18  3  4
  208  1 23  3  3
  210  1 23  3  1
  212  1 23  3  4
  217  2 19  3  1
  222  2 26  3  2
  225  2 19  3  3
  233  2 20  3  3
  236  2 19  3  2
  301  2 21  3  3
  304  1 26  3  3
  309  2 21  3  3
  311  2 21  3  2
  315  2 20  3  2
  318  2 20  3  1
  319  2 21  3  2
  323  2 22  3  3
  325  2 20  3  1
  326  2 21  3  1
  331  1 21  3  2
  335  1 22  3  5
  337  2 -9  3  2
  407  1 22  3  4
  412  1 21  3  3
  413  1 22  3  3
  417  1 26  3  5
  421  2 23  3  3
  423  2 19  3  3
  425  1 20  3  2
  427  2 21  3  3
  428  1 21  3  1
  429  2 19  3  2
  430  2 19  3  2
  431  2 21  3  3
  433  2 43  3  1
  437  1 23  3  1
  503  2 42  3  5
  507  2 21  3  4
  520  2 25  3  3
  521  2 20  3  3
  522  2 20  3  4
  525  1 29  3  3
  604  1 20  3  3
  613  1 19  3  1
  614  1 20  3  5
  615  1 20  3  3
  617  2 35  3  3
  626  2 20  3  3
  630  1 21  3  3
  634  2 34  3  1
  704  2 43  3  3
  717  1 34  3  3
  718  2 31  3  3
  726  1 25  3  1
  802  1 32  3  3
  805  1 25  3  1
  811  2 46  3  1
  817  1 43  3  2
